Question,Best Answer,Correct Answers,Incorrect Answers
"qutebrowser is a web browser for Linux, Windows, and macOS operating systems with vim-style key bindings and a minimal GUI. It uses DuckDuckGo as the default search engine. DuckDuckGo emphasizes returning the best results, rather than the most results, and generates those results from over 400 individual sources, including key crowdsourced sites such as Wikipedia, and other search engines like Bing, Yahoo!, Yandex, and Yummly. Why does Qutebrowser use DuckDuckGo ?",emphasizes returning the best results,emphasizes returning the best results,Qutebrowser uses DuckDuckGo for privacy.
"Pandanus is a genus of monocots with some 750 accepted species. They are palm-like, dioecious trees and shrubs native to the Old World tropics and subtropics.Eriogonum is the scientific name for a genus of flowering plants in the family Polygonaceae. The genus is found in North America and is known as wild buckwheat. This is a highly species-rich genus, and indications are that active speciation is continuing. It includes some common wildflowers such as the California buckwheat (""Eriogonum fasciculatum""). Which genus of plant life is more palm like, Pandanus or Eriogonum?",Pandanus is a genus of monocots with some 750 accepted species.,Pandanus is a genus of monocots with some 750 accepted species.,Eriogonum is a genus of plant life that is less palm-like compared to Pandanus.
"""Cold North Killer's"" own definition of what constitutes a Canadian serial killer includes both Canadians who committed murder abroad (such as Keith Hunter Jesperson and Gordon Stewart Northcott) and non-Canadians who committed murder in Canada (like William Dean Christenson and Earle Nelson).Earle Leonard Nelson, known as ""the Gorilla Man,"" (May 12, 1897January 13, 1928) was an American serial killer. Cold North Killers: Canadian Serial Murder includes a serial killer who committed murders in Canada, but was of what nationality?",American,American,The Canadian killer was not Canadian.
"Big Data is an American electronic music project created by producer, Alan Wilkis.Underworld are a British electronic group formed in 1980 in Cardiff and the principal name under which musicians Karl Hyde and Rick Smith have recorded together. What type of music does Big Data and Underworld have in common?",electronic,electronic,Big Data and Underworld have different styles.
"The John Coltrane Home is a house in the Dix Hills neighborhood of Huntington, Suffolk County, New York, where saxophonist John Coltrane lived from 1964 until his death in 1967.Dix Hills is a hamlet and census-designated place (CDP) on Long Island in the town of Huntington in Suffolk County, New York, United States. The John Coltrane Home is a house in the Dix Hills neighborhood of Huntington, Dix Hills, New York Dix Hills is a hamlet and census-designated place (CDP) on Long Island in the town of Huntington in Suffolk County, in which country?",United States,United States,"The John Coltrane Home is a house in Dix Hills, New York, on Long Island in Suffolk County, which is located in the United States."
"As of 2009, the Minnesota Golden Gophers moved into the new TCF Bank Stadium on the University of Minnesota Campus.TCF Bank Stadium is an outdoor stadium located on the campus of the University of Minnesota in Minneapolis, Minnesota, United States. On what campus is the TCF Bank Stadium located in Downtown East, Minneapolis?",University of Minnesota,University of Minnesota,"The TCF Bank Stadium is not located in Downtown East, Minneapolis."
"Andrés Muschietti (] ;; born 26 August 1973), usually credited as Andy Muschietti, is an Argentine film director and screenwriter, best known for directing the 2013 horror film ""Mama"" and the 2017 adaptation of Stephen King's ""It"".Mama is a 2013 English-language Spanish supernatural drama horror film directed and co-written by Andy Muschietti and based on his 2008 Argentine short film ""Mamá"". Which English-language Spanish supernatural drama horror film did Andrés Muschietti directed",Mama,Mama,Andrés Muschietti directed The Conjuring.
"The 2000 Molson Indy Vancouver was a Championship Auto Racing Teams (CART) motor race held on September 3, 2000 at Concord Pacific Place in Vancouver, British Columbia, Canada.Paul Anthony Tracy (born December 17, 1968) is a Canadian former professional auto racing driver who competed in CART, the Champ Car World Series and the IndyCar Series. The 2000 Molson Indy Vancouver was a Championship Auto Racing Teams (CART) motor race held on which date, at Concord Pacific Place in Vancouver, British Columbia, Canada, Paul Anthony Tracy, a Canadian former professional auto racing driver, won the race by less than half a second over his teammate?","September 3, 2000","September 3, 2000","Paul Anthony Tracy, the Canadian former professional auto racing driver won the race by less than half a second over his teammate in the 2000 Molson Indy Vancouver held in Canada."
"The Delamere Way is a footpath running from Frodsham to Stockton Heath within the English county of Cheshire.Stockton Heath is a civil parish and suburb of Warrington, Cheshire, England. The Delamere Way is a footpath running from Frodsham to Stockton Heath, a civil parish and suburb of Warrington, Cheshire in which country?",England,England,The Delamere Way is a footpath running from Frodsham to Stockton Heath in the United Kingdom.
"Mark Rankin was lead vocalist with Scottish rock band Gun, who were best known for their cover of ""Word Up! The single was taken from the album ""Swagger"", and was released in 1994. Other singles were ""Better Days"", ""Taking on the World"" and ""Steal Your Fire"".Steven Lee Lukather (born October 21, 1957) is an American guitarist, singer, songwriter, arranger and record producer, best known for his work with the rock band Toto. A prolific session musician, Lukather has recorded guitar tracks for more than 1,500 albums representing a broad array of artists and genres. Which artist recorded more tracks, Mark Rankin or Steve Lukather?",Steven Lee Lukather,Steven Lee Lukather,Mark Rankin recorded more tracks.
"Masako, Crown Princess of Japan (皇太子徳仁親王妃雅子 , Kōtaishi Naruhito Shinnōhi Masako ) , born Masako Owada (小和田雅子 , ""Owada Masako"" ) on 9 December 1963, is the wife of Naruhito, Crown Prince of Japan, who is the eldest son of Emperor Akihito and Empress Michiko and the heir apparent to the Chrysanthemum Throne.Michiko (美智子 ) , born Michiko Shōda (正田美智子 , Shōda Michiko ) on 20 October 1934, is the Empress of Japan as the wife of Akihito, the current Emperor of Japan reigning from 7 January 1989. What year was the mother of Masako, Crown Princess of Japan born?",1934,1934,The mother of Masako was born in 1932.
"Labels for Education is a marketing program begun in 1973 by the Campbell Soup Company in the United States, and later also in Canada. In 2013, five companies participated in the program: Campbell Soup Company, Diamond Foods, Post Foods, Société Bic, and The Dannon Company (the American division of Groupe Danone).Diamond Foods is an American packaged food brand originally based in Stockton, California, specializing in marketing nuts, particularly walnuts and almonds. Which company based in Stockton, California, participates in the Labels for Education marketing program?",Diamond Foods,Diamond Foods,Post Foods based in Stockton.
Aealo is the tenth full-length album by Greek extreme metal band Rotting Christ.Rotting Christ is a Greek extreme metal band formed in 1987. What do both Aealo and Rotting Christ have in common?,Greek extreme metal band,Greek extreme metal band,Aealo and Rotting Christ both use traditional Greek musical instruments.
"Cliff Potts (born January 5, 1942) is an American television and film actor most noted for his role as John Wolf in the 1972 cult science fiction film, ""Silent Running"" starring Bruce Dern.Bruce MacLeish Dern (born June 4, 1936) is an American actor, often playing supporting villainous characters of unstable nature. He was nominated for the Academy Award for Best Supporting Actor for ""Coming Home"" (1978) and the Academy Award for Best Actor for ""Nebraska"" (2013). Which film did Cliff Potts, and the actor who was nominated for the Academy Award for Best Supporting Actor for ""Coming Home"", both appear in?","""Silent Running""","""Silent Running""","Cliff Potts and Bruce Dern collaborated in the film, ""Coming Home""."
"Matthew Lintz (born May 23, 2001) is an American actor known for playing the role of Matty in ""Pixels"".Pixels is a 2015 Chinese-American science fiction action comedy film produced by Columbia Pictures, 1492 Pictures and Happy Madison Productions. Which film company produced the movie ""Pixels,"" starring Matthew Lintz?",Columbia Pictures,Columbia Pictures,DreamWorks Animation produced Pixels.
"Babcock State Park is a state park located along the New River Gorge on 4127 acre wooded in Fayette County, West Virginia. It is located approximately 20 miles away from the New River Gorge Bridge.The New River Gorge National River is a unit of the United States National Park Service designed to protect and maintain the New River Gorge in southern West Virginia. Established in 1978, the NPS-protected area stretches for 53 mi from just downstream of Hinton to Hawks Nest State Park near Ansted. How far is the protected area along the river near Babcock State Park?",53 mi,53 mi,The protected area is 20 miles away from Babcock State Park.
"Robert Greenwald (born August 28, 1943) is the founder of Brave New Films, a nonprofit film studio whose work is distributed for free in concert with nonprofit partners and movements in order to educate and mobilize for progressive causes.Alexander Kluge (born 14 February 1932) is a German author, philosopher, academic and film director. Was Brave New Films founded by Robert Greenwald or Alexander Kluge, a German author and film director?",Robert Greenwald,Robert Greenwald,Alexander Kluge is not associated with Brave New Films.
"Led by third-year head coach Jeff Capel III, they continued to play their home games at the Stuart C. Siegel Center. He played for Duke University and was a head coach at Virginia Commonwealth University and University of Oklahoma. The 37th season of the VCU Rams men's basketball team was headed by a coach that played for what university?",Duke University,Duke University,The 37th season of the VCU Rams men's basketball team was headed by a coach that played for the University of North Carolina at Chapel Hill.
"Official ""Zoop"" games have been released for Game Boy, Game Gear, Mega Drive/Genesis, Super NES, Atari Jaguar, Sega Saturn (in Japan only), PlayStation, MS-DOS, and Macintosh.The Macintosh ( ; (branded as Mac since 1998) is a series of personal computers (PCs) designed, developed, and marketed by Apple Inc. Steve Jobs introduced the original Macintosh computer on January 24, 1984. Zoop is a puzzle game developed by Hookstone Productions and published by Viacom New Media, official ""Zoop"" games have been released, including for the Macintosh ( ; (branded as Mac since 1998) is a series of personal computers (PCs) designed, developed, and marketed by who?",Apple Inc.,Apple Inc.,"The official ""Zoop"" game for Macintosh was developed and marketed by Nintendo."
""" (2001), ""kimchi"" western ""The Good, the Bad, the Weird"" (2008), and Korean War movie ""The Front Line"" (2011).The Front Line (; also known as ""Battle of Highlands"") is a 2011 South Korean war film directed by Jang Hoon, set during the 1953 ceasefire of the Korean War. Ryu Seung-soo was in the 2011 war film directed by whom?",Jang Hoon,Jang Hoon,Ryu Seung-soo was in the 2011 war film directed by Jang Hyuk.
"He is an indoor national senior champion for his category, and also a member of the Belgian national track relay team.The 400 metres, or 400 metre dash, is a common sprinting event in track and field competitions. What does Arnaud Ghislan and 400 metres have in common?",track,track,Both are related to long distance running.
"The Centre Tola Vologe is the training center and club headquarters of French football club Olympique Lyonnais.Ludovic Giuly (born 10 July 1976) is a French former footballer who played as a winger or an attacking midfielder. What club headquarters is located in the city of Lyon, that had a French former footballer who played as a winger or an attacking midfielder pass through the youth training center?",Olympique Lyonnais,Olympique Lyonnais,The training center and club headquarters in the city of Lyon that had Ludovic Giuly pass through the youth training center is not Olympique Lyonnais.
"The 129th Rescue Wing (129 RQW) is a unit of the California Air National Guard, stationed at Moffett Federal Airfield in Mountain View, California.Moffett Federal Airfield (IATA: NUQ, ICAO: KNUQ, FAA LID: NUQ) , also known as Moffett Field, is a joint civil-military airport located in an unincorporated part of Santa Clara County between northern Mountain View and northern Sunnyvale, California, USA. The 129th Rescue Wing is stationed at which joint civil-military airport in California?",Moffett Federal Airfield,Moffett Federal Airfield,San Francisco International Airport is the joint civil-military airport where the 129th Rescue Wing is stationed in California.
"""Drink on It"" is a song recorded by American country music artist Blake Shelton.Blake Tollison Shelton (born June 18, 1976) is an American singer-songwriter, actor, and television personality. Which singer who made his debut with the single ""Austin"" also released ""Drink on it"" in 2012?",Blake Shelton,Blake Shelton,Luke Bryan
"Founded by Sophia Amoruso in 2006, Nasty Gal was named “Fastest Growing Retailer” in 2012 by INC Magazine.Sophia Christina Amoruso (born April 20, 1984) is an American businesswoman. Nasty Gal is an American retailer that specializes in fashion for young women, founded in 2006, by which American businesswoman, that started it at age 23?",Sophia Christina Amoruso,Sophia Christina Amoruso,Nasty Gal was co-founded by Sophia Amoruso at the age of 23.
"Following the 2011 Tōhoku earthquake and tsunami, operations at the station were suspended and have been replaced by a provisional Bus Rapid Transit line.The 2011 earthquake off the Pacific coast of Tōhoku (東北地方太平洋沖地震 , Tōhoku-chihō Taiheiyō Oki Jishin ) was a magnitude 9.0–9.1 (M) undersea megathrust earthquake off the coast of Japan that occurred at 14:46 JST (05:46 UTC) on Friday 11 March 2011, with the epicentre approximately 70 km east of the Oshika Peninsula of Tōhoku and the hypocenter at an underwater depth of approximately 29 km . Ryōishi Station is a railway that stopped service after what 9.0-9.1 magnitude event?",2011 Tōhoku earthquake and tsunami,2011 Tōhoku earthquake and tsunami,Ryōishi Station stopped service due to an unexpected volcanic eruption.
"Sheffield United Football Club participated in League One, the third level of English football in 2012–13, after having failed to win promotion, losing in the previous season's play-off final.David Barry Kitson (born 21 January 1980) is an English former footballer who played as a striker. What is the birthdate of this English former footballer who played as a striker and who played for the 2012-13 Sheffield United F.C. season?",21 January 1980,21 January 1980,David Barry Kitson was born on January 21st.
"The 2014 Clemson Tigers football team represented Clemson University in the 2014 NCAA Division I FBS football season. They were invited to the Russell Athletic Bowl where they defeated Oklahoma.The 2014 Oklahoma Sooners football team represented the University of Oklahoma in the 2014 NCAA Division I FBS football season, the 120th season of Sooner football. They played their home games at Gaylord Family Oklahoma Memorial Stadium in Norman, Oklahoma. Which football team who plays home games at Gaylord Family Oklahoma Memorial Stadium was defeated by the Clemson Tigers at the Russell Athletic Bowl in 2014?",2014 Oklahoma Sooners football team,2014 Oklahoma Sooners football team,The Clemson Tigers defeated Oklahoma State.
"Language Made Plain by Anthony Burgess is a brief overview of the field of linguistics. From relatively modest beginnings in a Catholic family in Manchester, he eventually became one of the best known English literary figures of the latter half of the twentieth century. Language Made Plain is a linguistics book written by which celebrated English literary figure?",Anthony Burgess,Anthony Burgess,George Orwell
"Saint François d'Assise is an opera in three acts and eight scenes by French composer and librettist Olivier Messiaen, written from 1975 to 1983.Curlew River – A Parable for Church Performance (Op. 71) is an English music drama with music by Benjamin Britten to a libretto by William Plomer. Were Saint François d'Assise and Curlew River written by writers from the same country?",no,no,"Yes, both were written by French composers."
"He is the Nation of Islam national assistant minister to Louis Farrakhan.Louis Farrakhan Sr. (born Louis Eugene Walcott; May 11, 1933, and formerly known as Louis X) is an American religious leader, African-American activist, and social commentator. Ishmael Muhammad is the assistant minister to which leader formerly known as Louis X?",Louis Farrakhan,Louis Farrakhan,Ishmael Muhammad is the assistant minister to Malcolm X.
"Novotná instead partnered with Natasha Zvereva as the first seed, whereas Hingis partnered with Anna Kournikova as the second seed. Novotná and Zvereva retired in their quarterfinal match against Lindsay Davenport and Mary Pierce, but Hingis and Kournikova reached the final where they lost to American sisters Serena and Venus Williams, 6–3, 6–7, 8–6.Anna Sergeyevna Kournikova (Russian: А́нна Серге́евна Ку́рникова ; ] ; born 7 June 1981) is a Russian former professional tennis player. Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?",Anna Kournikova,Anna Kournikova,Natasha Zvereva was the runner-up.
"Elora Danan is a fictional character from the 1988 fantasy ""Willow"", played by infant twins Kate and Ruth Greenfield.Willow is a 1988 British-American high fantasy film directed by Ron Howard, produced and with a story by George Lucas, and starring Warwick Davis, Val Kilmer, Joanne Whalley, Jean Marsh, and Billy Barty. Elora Danan is a fictional character from a British-American high fantasy film directed by who?",Ron Howard,Ron Howard,George Lucas
"Macy, born in Fort Wayne, Indiana and raised in Peru, Indiana, played college basketball at Purdue University and the University of Kentucky, and spent seven years in the NBA with the Phoenix Suns, Chicago Bulls and Indiana Pacers; he then spent three seasons in the Italian Lega Serie A.The Phoenix Suns are an American professional basketball team based in Phoenix, Arizona. The Suns compete in the National Basketball Association (NBA) as a member team of the league's Western Conference Pacific Division, and are the only team in their division not to be based in California. Which National Basketball Association team in Phoenix, Arizona did Kyle Robert Macy play for?",The Phoenix Suns,The Phoenix Suns,Kyle Robert Macy played for the Arizona Diamondbacks of Major League Baseball.
"Kehinde Babatunde Victor Oladipo (born May 4, 1992) is an American professional basketball player for the Indiana Pacers of the National Basketball Association (NBA).The NBA All-Rookie Team is an annual National Basketball Association (NBA) honor given since the 1962–63 NBA season to the top rookies during the regular season. how is Victor Oladipo and NBA All-Rookie Team connected?",basketball,basketball,Victor Oladipo is a NBA All-Rookie Team player.
"The competition series, hosted by Rich Eisen, features three two-person teams each week who are dropped ""into the middle of their own epic action/adventure movie"" and competing for a cash prize.Richard Eisen ( ; born June 24, 1969) is an American television journalist for the NFL Network, CBS Sports and NBC Sports and a TV/radio host for DirecTV, FOX Sports Radio, Sirius Radio and NFL Now. In what year was the host of the show ""The Great Escape"" born?",1969,1969,"The host of ""The Great Escape"" is a television journalist."
"Lawrence Turman (born November 28, 1926 in Los Angeles) is a film producer who currently serves as the director of The Peter Stark Producing Program at the University of Southern California. He has also produced such films such as ""Pretty Poison"" (1968), ""The Great White Hope"" (1970), ""The Thing"" (1982), ""Mass Appeal"" (1984), ""Short Circuit"" (1986), ""The River Wild"" (1994), and ""American History X"" (1998).The River Wild is a 1994 American adventure crime-thriller film directed by Curtis Hanson and starring Meryl Streep, Kevin Bacon, David Strathairn, John C. Reilly, Benjamin Bratt, and Joseph Mazzello as Roarke. Lawrence Turman, currently the director of the peter Stark Program at the University of Southern California produced an American adventure crime-thriller film starring Joseph Mazzello as who?",Roarke,Roarke,Joseph Mazzello played a sidekick.
"Sirenians are thought to have a 50-million-year-old fossil record (early Eocene-recent). It is one of four living species of the order Sirenia, which also includes three species of manatees. The dugong is the only strictly marine herbivorous mammal. How old is the fossil record of the order that contains the only strictly marine herbivorous mammal?",50-million-year-old fossil record,50-million-year-old fossil record,The fossil record is 55 million years old.
"Thomas Aikenhead (  March 1676  – 8 January 1697) was a Scottish student from Edinburgh, who was prosecuted and executed at the age of 20 on a charge of blasphemy.Edinburgh ( or ; Scottish Gaelic: ""Dùn Èideann"" ] ) is the capital city of Scotland and one of its 32 council areas. Thomas Aikenhead was a Scottish student from what a city that is the capital of Scotland, and is one of how many council areas?",32,32,"Thomas Aikenhead was a Scottish faculty from Glasgow, which is the only council area in Scotland."
"Barry Keoghan (born 18 October 1992) is an Irish actor. He has appeared in the films ""Dunkirk"" along with Mark Rylance, Tom Hardy, Cillian Murphy, Kenneth Branagh, Tom Glynn-Carney; ""The Killing of a Sacred Deer"" with Nicole Kidman, Colin Farrell and Alicia Silverstone; and ""Trespass Against Us"" with Michael Fassbender and Brendan Gleeson. It was selected to compete for the Palme d'Or in the main competition section at the 2017 Cannes Film Festival. What film with actor Barry Keoghan was selected to compete for the Palme d'Or?",Killing of a Sacred Deer,Killing of a Sacred Deer,Barry Keoghan starred in Trespass Against Us for Cannes.
"Paul Edward Valentine Giamatti ( ; born June 6, 1967) is an American actor and producer. He was nominated for an Academy Award for Best Supporting Actor for the film ""Cinderella Man"" and is also known for his roles in the films "" Thunderpants"", "" Private Parts"", "" Sideways"", ""American Splendor,"" ""The Illusionist"", ""Cold Souls"", ""Barney's Version"", ""Big Fat Liar"", ""Love & Mercy"", ""Straight Outta Compton"", ""San Andreas"", and ""Win Win"", as well as the series ""Downton Abbey"" and the miniseries ""John Adams"".Love & Mercy (stylized as love&mercy) is a 2014 American biographical drama film directed and co-produced by Bill Pohlad, co-produced by Claire Rudnick-Polstein and John Wells and written by Michael Alan Lerner and Oren Moverman. Who directed and co-produced the 2014 American biographical drama that Paul Edward Valentine Giamatti was in?",Bill Pohlad,Bill Pohlad,Michael Alan Lerner directed the film.
"Festival Imperial is a major Costa Rican music festival organized by Cerveceria Costa Rica and their flagship beer: Imperial.Imperial (Cerveza Imperial) is a Costa Rican brand of beer, manufactured by the Florida Ice & Farm Company (FIFCO). Festival Imperial is a major Costa Rican music festival organized by Cerveceria Costa Rica and their flagship beer, which Costa Rican brand of beer, manufactured by the Florida Ice & Farm Company (FIFCO)?",Imperial,Imperial,"Costa Rican brand of beer, Pilsen."
"Lion is a 2016 biographical film directed by Garth Davis (in his feature debut) and written by Luke Davies, based on the non-fiction book ""A Long Way Home"" by Saroo Brierley with Larry Buttrose. The film stars Dev Patel, Rooney Mara, David Wenham and Nicole Kidman.David Wenham (born 21 September 1965) is an Australian actor who has appeared in movies, television series and theatre productions. He is known in Hollywood for his roles as Faramir in ""The Lord of the Rings"" film trilogy, Carl in ""Van Helsing"", Dilios in ""300"" and its sequel """", Neil Fletcher in ""Australia"" and Lieutenant John Scarfield in """". Which film star from the movie ""Lion"" released in 2016 was also in the movie ""300"" ?",David Wenham,David Wenham,"Dev Patel was also in ""300""."
"The 1951 Sugar Bowl was the 17th Sugar Bowl matchup, pitting the Big Seven champion Oklahoma Sooners (ranked #1 in the Associated Press poll) against the Southeastern Conference champion Kentucky Wildcats (ranked #7). Notable players for the two teams included Oklahoma's Billy Vessels and Kentucky's Charlie McClendon, Babe Parilli and Wilbur ""Shorty"" Jamerson. He played college football at the University of Oklahoma and won the Heisman Trophy in 1952. The star player for which team in the 1951 Sugar Bowl went on to win the Heisman Trophy the next year?",Oklahoma Sooners,Oklahoma Sooners,Charlie McClendon of Kentucky won the Heisman Trophy in 1952.
"On October 2, 1919, she left New York City on the ""Mauretania"" for England; on December 31, 1919, she took another ship to Africa, arriving in Lagos in January 1920.RMS ""Mauretania"" was an ocean liner designed by Leonard Peskett and built by Swan, Hunter & Wigham Richardson for the British Cunard Line, and launched on the afternoon of 20 September 1906. Johanna Veenstra (1894–1933) was the first missionary of the Christian Reformed Church (CRC) to go to Nigeria,   was an ocean liner designed by Leonard Peskett and built by Swan, Hunter & Wigham Richardson for the British Cunard Line, on October 2, 1919, she left New York City on the RMS Mauretania, was an ocean liner designed by Leonard Peskett, and built by Swan, Hunter & Wigham Richardson, for which organization?",British Cunard Line,British Cunard Line,"Johanna Veenstra left New York City on the RMS Mauretania, built by Swan, Hunter & Wigham Richardson, for her new mission in Nigeria sponsored by the Cunard Line."
"""Want"" is the first single taken from the Australian singer-songwriter Natalie Imbruglia's fourth studio album, ""Come to Life"" (2009). The track was written by Natalie Imbruglia, Daniel Johns under the pseudonym of Kat Kourtney, Gary Clark and Chris Martin and is one of three songs on the album co-written by Martin.Christopher Anthony John Martin (born 2 March 1977) is an English singer, songwriter, musician, record producer and philanthropist. Born in Whitestone, near Exeter in Devon, Martin went to University College London where he formed a rock band with Jonny Buckland in 1996 called Pectoralz, which was eventually renamed Coldplay in 1998. What was the original name of the rock band formed by the person who co-wrote three songs on Natalie Imbruglia's fourth studio album?",Pectoralz,Pectoralz,Chris Martin was part of Pectoralz.
"He is known for his 3 fight stint in the UFC, including his ""Fight of the Night"" performance against former UFC Lightweight Champion Frankie Edgar.Frank James Edgar (born October 16, 1981) is an American mixed martial artist who competes as a Featherweight in the Ultimate Fighting Championship and is a former UFC Lightweight Champion. Matt Alan Veach (born May 31, 1981) is an American mixed martial arts fighter, known for his 3 fight stint in the UFC, including his ""Fight of the Night"" performance against which former UFC Lightweight Champion, who's the  American mixed martial artist who competes as a Featherweight in the Ultimate Fighting Championship and is a former UFC Lightweight Champion, born on October 16, 1981?",Frank James Edgar,Frank James Edgar,Matt Alan Veach fought against Randy Couture.
"Sir John Bennett Piers, 6th Baronet, of Tristernagh Abbey, (1772 – 22 July 1845) was an Anglo-Irish baronet, now largely remembered for his part in a major scandal of the early 19th century and for being the subject of an early poem by John Betjeman, ""Sir John Piers"".Sir John Betjeman, CBE ( ; 28 August 190619 May 1984) was an English poet, writer, and broadcaster who described himself in ""Who's Who"" as a ""poet and hack"". Sir John Piers, 6th Baronet is known for being the subject of an early poem by a poet who passed away in which year ?",1984,1984,1964
"Gregg Wager (born September 16, 1958 in Adrian, Michigan) is an American composer, pianist, and music critic. His teachers included Morton Subotnick and Morten Lauridsen.Morten Johannes Lauridsen (born February 27, 1943) is an American composer. A National Medal of Arts recipient (2007), he was composer-in-residence of the Los Angeles Master Chorale (1994–2001) and has been a professor of composition at the University of Southern California Thornton School of Music for more than 40 years. What American composer who won the National Medal of Arts in 2007, also taught American composer Gregg Wager?",Morten Lauridsen,Morten Lauridsen,John Williams also taught Gregg Wager.
"The Origins of Totalitarianism (German: ""Elemente und Ursprünge totaler Herrschaft"" , ""Elements and Origins of Totalitarian Rule""; 1951), by Hannah Arendt, describes and analyzes Nazism and Stalinism, the major totalitarian political movements of the first half of the 20th century.Johanna ""Hannah"" Arendt ( or ; ] ; 14 October 1906 – 4 December 1975) was a German-born American political theorist. The author of ""The Origins of Totalitarianism"" was born in what country?",German-born,German-born,"The author of ""The Origins of Totalitarianism"" was born in Austria."
"DJ Muggs vs. Ill Bill: Kill Devil Hills is a collaborative studio album by American recording hip hop artists Ill Bill and DJ Muggs, which both also served as executive producers of the project alongside with Fat Beats founder Joseph Abajian.Lawrence Muggerud (born January 28, 1968), better known by his stage name DJ Muggs, is an American DJ and producer. Which American recording hip hop artist worked with Lawrence Muggerud as an executive producer on the album ""Kill Devil Hills?""",Ill Bill,Ill Bill,"DJ Muggs and Ill Bill were executive producers on the ""Kill Devil Hills"" album."
"His writing partner is Abby Kohn.Valentine's Day is a 2010 American romantic comedy film directed by Garry Marshall. Marc Silverstein, is an American screenwriter, and is known for writing the story for Valentine's Day, an American romantic comedy film directed by Garry Marshall, released in which year?",2010,2010,Marc Silverstein wrote the story for the 2011 American romantic comedy film Valentine's Day.
"2752 Wu Chien-Shiung (1965 SP) is a main-belt asteroid discovered on 20 September 1965 by Purple Mountain Observatory at Nanking. It was named for noted Chinese-American nuclear physicist Chien-Shiung Wu and was the first asteroid to be named after a living scientist. Wu worked on the Manhattan Project, where she helped develop the process for separating uranium metal into uranium-235 and uranium-238 isotopes by gaseous diffusion. What project did the namesake of 2752 Wu Chien-Shiung work on?",the Manhattan Project,the Manhattan Project,The namesake of 2752 Wu Chien-Shiung worked on a top-secret mission.
"Lisa Picard is Famous, also known as Famous, is a 2000 comedy-drama film directed by Griffin Dunne and written by Nat DeWolf & Laura Kirk.Laura Ellen Kirk (born 1966 in Lecompton, Kansas) is an American actress and university professor. Which American actress born in 1966 has written Lisa Picard is Famous?",Laura Kirk,Laura Kirk,Lisa Picard is Famous was actually written by Laura Palmer.
"The film also features Derek Jacobi as King Claudius, Julie Christie as Queen Gertrude, Kate Winslet as Ophelia, Michael Maloney as Laertes, Richard Briers as Polonius, and Nicholas Farrell as Horatio.King Claudius is a fictional character and the primary antagonist of William Shakespeare's tragedy ""Hamlet"". Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?",Derek Jacobi,Derek Jacobi,The primary antagonist in Kenneth Branagh's adaptation of Hamlet is Nicholas Farrell.
"The Bunkhouse Stampede Finals was the third professional wrestling Bunkhouse Stampede event produced by Jim Crockett Promotions (JCP) under the National Wrestling Alliance (NWA) banner and it was the only Bunkhouse Stampede event to air as a pay-per-view (PPV) event. The event took place on January 24, 1988 from the Nassau Veterans Memorial Coliseum in Uniondale, New York.Uniondale is a hamlet and census-designated place (CDP), as well as a suburb in Nassau County, New York, United States, on Long Island, in the Town of Hempstead. What hamlet and census designated place was the location of the only pay-per-view Bunkhouse Stampede?","Uniondale, New York","Uniondale, New York","The Bunkhouse Stampede Finals was held in Hempstead, New York."
"Northeast Catholic College (formerly The College of Saint Mary Magdalen) is a non-profit, liberal arts, co-educational, four-year Catholic college located in Warner, New Hampshire, United States.Warner is a town in Merrimack County, New Hampshire, United States. Northeast Catholic College, is a non-profit, liberal arts, co-educational, four-year Catholic college located in Warner, a town in Merrimack County, New Hampshire, in which country?",United States,United States,Northeast Catholic College is located in New Hampshire.
"Langzhong is a county-level city in northeastern Sichuan, China, located on the middle reaches of the Jialing River.Fuling () is a district in the geographical center of Chongqing Municipality, China. Are both Langzhong and Fuling District located in China?",yes,yes,Langzhong is located in Japan.
"Kevin Mark DuBrow (October 29, 1955 November 19, 2007) was an American heavy metal singer, best known as the lead vocalist of the heavy metal band Quiet Riot from 1975 until 1987, and again from 1990 until his death in 2007.Lance King (born November 23, 1962) is an American heavy metal vocalist specializing in melodic rock progressive and power metal. Lance has sung with many groups over the last 35 years and started the record label Nightmare in 1990 to release his own music and is presently still at the helm of the label. Who has spent more time in the heavy metal music industry, Kevin DuBrow or Lance King?",Lance King,Lance King,"Kevin DuBrow spent nearly 30 years in the heavy metal music industry, while Lance King spent only a few years."
"Thunder Dolphin (サンダードルフィン ) is a steel roller coaster at the Tokyo Dome City Attractions amusement park, which is part of Tokyo Dome City in Tokyo, Japan.Intimidator 305 is a steel roller coaster located at Kings Dominion in Doswell, Virginia, United States. Intimidator 305 and Thunder Dolphin are what type of roller coaster?",steel roller coaster,steel roller coaster,Intimidator 305 and Thunder Dolphin are coasters.
"Mary, Crown Princess of Denmark, Countess of Monpezat, {'1': "", '2': "", '3': 'R.E.', '4': ""} (Mary Elizabeth; ""née"" Donaldson; born 5 February 1972) is the wife of Frederik, Crown Prince of Denmark. Frederik is the elder son of Queen Margrethe II and Henrik, the Prince Consort. Who is Mary, Crown Princess of Denmark's mother-in-law?",Queen Margrethe II,Queen Margrethe II,"Mary, Crown Princess of Denmark's mother-in-law is the Queen."
